fw,gl,gt,il,iw,mt,pl,pw,sl,sw,tt,freq,s11,gain
1,30,2,2,0.85,3,30.5,30.5,35,40,0.5,12.3,-10.37503687,7.813036119
1,30,2,2,0.85,3,30.5,30,35,40,0.5,12.354,-10.2018017,7.797002684
1,30,2,2,0.85,3,30,33.5,35,40,0.5,12.024,-6.735468666,7.641642545
1,30,2,2,0.85,3,30,33,35,40,0.5,12.018,-7.404639738,7.682165763
1,30,2,2,0.85,3,30,32.5,35,40,0.5,12.108,-7.655192096,7.521354835
1,30,2,2,0.85,3,30,32,35,40,0.5,12.138,-8.287465105,7.483583389
1,30,2,2,0.85,3,30,31.5,35,40,0.5,12.138,-8.876931382,7.58749064
1,30,2,2,0.85,3,30,31,35,40,0.5,12.24,-9.109523208,7.586179616
1,30,2,2,0.85,3,30,30.5,35,40,0.5,12.252,-9.236734968,7.77994811
1,30,2,2,0.85,3,30,30,35,40,0.5,12.318,-9.462903109,7.811581744
1,30,2,2,0.85,3,29.5,33.5,35,40,0.5,12.114,-5.842811766,7.25167116
1,30,2,2,0.85,3,29.5,33,35,40,0.5,12.144,-5.986640043,7.166282993
1,30,2,2,0.85,3,29.5,32.5,35,40,0.5,12.18,-6.478744559,7.090380313
1,30,2,2,0.85,3,29.5,32,35,40,0.5,12.168,-7.220147726,7.278985162
1,30,2,2,0.85,3,29.5,31.5,35,40,0.5,12.216,-7.579454781,7.241971966
1,30,2,2,0.85,3,29.5,31,35,40,0.5,12.264,-7.759665215,7.372340992
1,30,2,2,0.85,3,29.5,30.5,35,40,0.5,12.318,-8.078904323,7.608195963
1,30,2,2,0.85,3,29.5,30,35,40,0.5,12.462,-7.999112806,8.117910256
1,30,2,2,0.85,3,29,33.5,35,40,0.5,15.492,-6.232539871,7.675468158
1,30,2,2,0.85,3,29,33,35,40,0.5,15.588,-6.278225541,7.865366017
1,30,2,2,0.85,3,29,32.5,35,40,0.5,15.582,-6.386480484,7.717000439
1,30,2,2,0.85,3,29,32,35,40,0.5,18,-6.630340663,8.152522942
1,30,2,2,0.85,3,29,31.5,35,40,0.5,18,-6.560266323,8.32586654
1,30,2,2,0.85,3,29,31,35,40,0.5,18,-6.692093953,8.133810261
1,30,2,2,0.85,3,29,30.5,35,40,0.5,12.384,-6.895224487,7.589995411
1,30,2,2,0.85,3,29,30,35,40,0.5,12.438,-7.31109334,7.992899158
1,30,2,2,0.85,3,28.5,33.5,35,40,0.5,18,-8.13337888,8.078525117
1,30,2,2,0.85,3,28.5,33,35,40,0.5,18,-8.436971752,8.231762711
1,30,2,2,0.85,3,28.5,32.5,35,40,0.5,18,-8.47028209,8.346017441
1,30,2,2,0.85,3,28.5,32,35,40,0.5,18,-8.320255034,8.51672607
1,30,2,2,0.85,3,28.5,31.5,35,40,0.5,18,-8.10463927,8.542117668
1,30,2,2,0.85,3,28.5,31,35,40,0.5,18,-8.158032913,8.525149965
1,30,2,2,0.85,3,28.5,30.5,35,40,0.5,18,-8.077184825,8.444260595
1,30,2,2,0.85,3,28.5,30,35,40,0.5,18,-7.945442005,8.431624143
1,30,2,2,0.85,3,28,33.5,35,40,0.5,18,-10.623878,8.202665358
1,30,2,2,0.85,3,28,33,35,40,0.5,18,-10.79021651,8.398018503
1,30,2,2,0.85,3,28,32.5,35,40,0.5,18,-10.67049285,8.633467101
1,30,2,2,0.85,3,28,32,35,40,0.5,18,-10.78118576,8.407796992
1,30,2,2,0.85,3,28,31.5,35,40,0.5,18,-10.55188904,8.487593856
1,30,2,2,0.85,3,28,31,35,40,0.5,18,-10.49093405,8.544796716
1,30,2,2,0.85,3,28,30.5,35,40,0.5,18,-10.63607322,8.498890113
1,30,2,2,0.85,3,28,30,35,40,0.5,18,-10.71064472,8.457933327
1,30,2,2,0.85,3,27.5,33.5,35,40,0.5,18,-13.82768729,8.288090343
1,30,2,2,0.85,3,27.5,33,35,40,0.5,18,-13.9674148,8.41000632
1,30,2,2,0.85,3,27.5,32.5,35,40,0.5,18,-13.63022379,8.469323862
1,30,2,2,0.85,3,27.5,32,35,40,0.5,18,-13.57193345,8.63031723
1,30,2,2,0.85,3,27.5,31.5,35,40,0.5,18,-13.97595345,8.54288254
1,30,2,2,0.85,3,27.5,31,35,40,0.5,18,-14.43060961,8.465947326
1,30,2,2,0.85,3,27.5,30.5,35,40,0.5,18,-14.7156257,8.397803797
1,30,2,2,0.85,3,27.5,30,35,40,0.5,18,-14.73689635,8.371755989
1,30,2,2,0.85,3,27,33.5,35,40,0.5,18,-17.5337305,7.866719108
1,30,2,2,0.85,3,27,33,35,40,0.5,18,-17.42305763,8.540864909
1,30,2,2,0.85,3,27,32.5,35,40,0.5,16.326,-17.88767945,8.513321087
1,30,2,2,0.85,3,27,32,35,40,0.5,16.314,-18.39800183,8.462681871
1,30,2,2,0.85,3,27,31.5,35,40,0.5,16.5,-19.1573221,8.287147834
1,30,2,2,0.85,3,27,31,35,40,0.5,16.452,-20.48312604,8.398720756
1,30,2,2,0.85,3,27,30.5,35,40,0.5,16.512,-21.04660061,8.473815217
1,30,2,2,0.85,3,27,30,35,40,0.5,16.56,-21.31743541,8.096233478
1,30,2,2,0.7,3,30.5,33.5,35,40,0.5,12,-7.42874824,7.714039813
1,30,2,2,0.7,3,30.5,33,35,40,0.5,12,-8.661961576,7.794544054
1,30,2,2,0.7,3,30.5,32.5,35,40,0.5,12,-10.08395171,7.861244198
1,30,2,2,0.7,3,30.5,32,35,40,0.5,12.03,-10.95409386,7.866512378
1,30,2,2,0.7,3,30.5,31.5,35,40,0.5,12.168,-10.67202474,7.71499535
1,30,2,2,0.7,3,30.5,31,35,40,0.5,12.252,-10.93684965,7.692974504
1,30,2,2,0.7,3,30.5,30.5,35,40,0.5,12.306,-11.14995872,7.796123605
1,30,2,2,0.7,3,30.5,30,35,40,0.5,12.36,-11.18231497,7.784410011
1,30,2,2,0.7,3,30,33.5,35,40,0.5,12.042,-7.189563269,7.626339777
1,30,2,2,0.7,3,30,33,35,40,0.5,12.012,-7.917599045,7.669646127
1,30,2,2,0.7,3,30,32.5,35,40,0.5,12.102,-8.26835202,7.40914675
1,30,2,2,0.7,3,30,32,35,40,0.5,12.138,-8.909716945,7.431044261
1,30,2,2,0.7,3,30,31.5,35,40,0.5,12.24,-9.105714717,7.349421517
1,30,2,2,0.7,3,30,31,35,40,0.5,12.192,-10.03894489,7.699559631
1,30,2,2,0.7,3,30,30.5,35,40,0.5,12.366,-9.584087481,7.696278367
1,30,2,2,0.7,3,30,30,35,40,0.5,12.42,-9.784022647,7.790560578
1,30,2,2,0.7,3,29.5,33.5,35,40,0.5,12.93,-6.232309562,6.240990139
1,30,2,2,0.7,3,29.5,33,35,40,0.5,12.072,-6.863610979,7.459725267
1,30,2,2,0.7,3,29.5,32.5,35,40,0.5,12.114,-7.411715816,7.359965036
1,30,2,2,0.7,3,29.5,32,35,40,0.5,12.156,-7.811364866,7.282210707
1,30,2,2,0.7,3,29.5,31.5,35,40,0.5,12.282,-7.829863951,7.061068543
1,30,2,2,0.7,3,29.5,31,35,40,0.5,12.264,-8.305734464,7.283812916
1,30,2,2,0.7,3,29.5,30.5,35,40,0.5,12.306,-8.999605242,7.558582129
1,30,2,2,0.7,3,29.5,30,35,40,0.5,12.468,-8.597847675,7.978614986
1,30,2,2,0.7,3,29,33.5,35,40,0.5,15.48,-6.561227525,7.434825459
1,30,2,2,0.7,3,29,33,35,40,0.5,15.552,-6.503182336,7.603326103
1,30,2,2,0.7,3,29,32.5,35,40,0.5,15.522,-6.652277546,6.57305223
