fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain
1,30,1.8,2,2,3,30,30.5,35,40,2,12.198,-11.38641899,7.546317648
1,30,1.8,2,2,2.5,30,30.5,35,40,2,12.486,-11.70681551,7.392259776
1,30,1.8,2,2,2,30,30.5,35,40,2,12.702,-11.94170884,8.713233494
1,30,1.8,2,2,1.5,30,30.5,35,40,2,12.966,-12.14327076,8.888088134
1,30,1.8,2,2,3,30,30.5,35,40,1.3,12.246,-9.316954465,7.628984574
1,30,1.8,2,2,2.5,30,30.5,35,40,1.3,12.54,-9.238772261,8.203827595
1,30,1.8,2,2,2,30,30.5,35,40,1.3,12.756,-9.424019964,9.085618654
1,30,1.8,2,2,1.5,30,30.5,35,40,1.3,12.978,-9.827155629,9.055708118
1,30,1.8,2,2,3,30,30.5,35,40,0.7,12.288,-7.04666658,7.766297235
1,30,1.8,2,2,2.5,30,30.5,35,40,0.7,12.57,-7.084620746,8.85213245
1,30,1.8,2,2,2,30,30.5,35,40,0.7,12.786,-7.627328228,9.363371972
1,30,1.8,2,2,1.5,30,30.5,35,40,0.7,12.942,-8.374191581,9.199666995
1,30,1.8,2,2,3,30,30.5,35,40,0.1,18,-6.722770182,8.42123247
1,30,1.8,2,2,2.5,30,30.5,35,40,0.1,16.656,-6.248352249,8.293520123
1,30,1.8,2,2,2,30,30.5,35,40,0.1,18,-6.427768084,7.089853999
1,30,1.8,2,2,1.5,30,30.5,35,40,0.1,18,-7.214899459,7.288200939
1,30,1.4,2,2,3,30,30.5,35,40,2,12.204,-11.69271143,7.487977794
1,30,1.4,2,2,2.5,30,30.5,35,40,2,12.498,-11.80024522,7.48779342
1,30,1.4,2,2,2,30,30.5,35,40,2,12.708,-12.00416302,8.713516244
1,30,1.4,2,2,1.5,30,30.5,35,40,2,12.942,-12.06427855,8.982408856
1,30,1.4,2,2,3,30,30.5,35,40,1.3,12.252,-9.277797007,7.556379219
1,30,1.4,2,2,2.5,30,30.5,35,40,1.3,12.54,-9.2831281,8.233760753
1,30,1.4,2,2,2,30,30.5,35,40,1.3,12.768,-9.444693852,9.085271054
1,30,1.4,2,2,1.5,30,30.5,35,40,1.3,12.984,-9.796106544,9.063763861
