fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain,bandwidth
1,30,2.4,1.6,1,1.2,28,32,30,40,0.5,12.426,-23.05230965,9.353838286,0.201622527
1,30,2.4,1.6,1,1,28,32,30,40,0.5,12.564,-28.33555448,9.180628032,0.210525408
1,30,2.4,1.6,1,3.2,28,32,30,40,0.3,13.662,-21.07007511,8.788538109,0.434506284
1,30,2.4,1.6,1,3,28,32,30,40,0.3,13.704,-22.72764535,8.838885604,0.424171688
1,30,2.4,1.6,1,2.8,28,32,30,40,0.3,13.728,-22.12449469,8.91947012,0.387409865
1,30,2.4,1.6,1,2.6,28,32,30,40,0.3,13.752,-20.51437989,8.950815003,0.367453665
1,30,2.4,1.6,1,2.4,28,32,30,40,0.3,13.776,-17.30547843,8.962719349,0.315597607
1,30,2.4,1.6,1,2.2,28,32,30,40,0.3,13.788,-16.81753937,8.842811359,0.288915418
1,30,2.4,1.6,1,2,28,32,30,40,0.3,13.782,-14.45815668,8.648199132,0.247179883
1,30,2.4,1.6,1,1.8,28,32,30,40,0.3,13.788,-14.38888756,8.521591737,0.227692437
1,30,2.4,1.6,1,1.6,28,32,30,40,0.3,13.824,-13.41564482,8.2834529,0.189398543
1,30,2.4,1.6,1,1.4,28,32,30,40,0.3,12.408,-14.32334238,9.363293275,0.169378402
1,30,2.4,1.6,1,1.2,28,32,30,40,0.3,12.498,-20.83505692,9.231400382,0.198249252
1,30,2.4,1.6,1,1,28,32,30,40,0.3,12.594,-37.09684518,9.273326258,0.207358866
1,30,2.4,1.6,1,3.2,28,32,30,40,0.1,13.674,-14.06054105,8.389612102,0.416491233
1,30,2.4,1.6,1,3,28,32,30,40,0.1,13.71,-13.90313609,8.492476356,0.37866245
1,30,2.4,1.6,1,2.8,28,32,30,40,0.1,13.728,-13.29262544,8.482939506,0.347785276
1,30,2.4,1.6,1,2.6,28,32,30,40,0.1,13.746,-12.82628726,8.543683697,0.299109531
1,30,2.4,1.6,1,2.4,28,32,30,40,0.1,13.782,-12.14708818,8.354764782,0.228801057
1,30,2.4,1.6,1,2.2,28,32,30,40,0.1,13.758,-11.74419397,8.136162793,0.199604458
1,30,2.4,1.6,1,2,28,32,30,40,0.1,13.788,-10.83310383,7.86894049,0.128004006
1,30,2.4,1.6,1,1.8,28,32,30,40,0.1,13.86,-11.82821067,7.665359103,0.13100424
1,30,2.4,1.6,1,1.6,28,32,30,40,0.1,12.336,-10.80028073,9.577288043,0.084407237
1,30,2.4,1.6,1,1.4,28,32,30,40,0.1,12.432,-13.12885996,9.420529749,0.143276547
1,30,2.4,1.6,1,1.2,28,32,30,40,0.1,12.504,-17.40767957,9.295847905,0.176898877
1,30,2.4,1.6,1,1,28,32,30,40,0.1,12.63,-31.7816564,9.293276356,0.195776699
1,30,2.1,1.6,1,3.2,28,32,30,40,2.4,13.842,-46.89702793,6.931748788,0.840784945
1,30,2.1,1.6,1,3,28,32,30,40,2.4,13.812,-43.80615269,7.012218203,0.814799043
1,30,2.1,1.6,1,2.8,28,32,30,40,2.4,13.788,-44.7414255,6.93735541,0.763899818
1,30,2.1,1.6,1,2.6,28,32,30,40,2.4,13.764,-44.99423926,7.078730245,0.706125145
1,30,2.1,1.6,1,2.4,28,32,30,40,2.4,13.734,-50.3609311,6.995177265,0.641038687
1,30,2.1,1.6,1,2.2,28,32,30,40,2.4,13.722,-35.19732591,7.274264895,0.583930719
1,30,2.1,1.6,1,2,28,32,30,40,2.4,13.722,-29.92329308,7.734440904,0.521323634
1,30,2.1,1.6,1,1.8,28,32,30,40,2.4,13.722,-27.10323349,8.002290254,0.461994629
1,30,2.1,1.6,1,1.6,28,32,30,40,2.4,13.74,-25.77637987,8.167986576,0.409155823
1,30,2.1,1.6,1,1.4,28,32,30,40,2.4,13.752,-25.93173396,8.17064177,0.365326547
1,30,2.1,1.6,1,1.2,28,32,30,40,2.4,13.77,-29.08912892,8.14252143,0.327580439
1,30,2.1,1.6,1,1,28,32,30,40,2.4,13.794,-37.81369803,7.983681662,0.289853401
1,30,2.1,1.6,1,3.2,28,32,30,40,2.1,13.818,-41.02686526,7.099007633,0.848703645
1,30,2.1,1.6,1,3,28,32,30,40,2.1,13.788,-38.15453239,7.044235697,0.787173188
1,30,2.1,1.6,1,2.8,28,32,30,40,2.1,13.758,-40.40541235,7.091231827,0.724093781
1,30,2.1,1.6,1,2.6,28,32,30,40,2.1,13.74,-47.80193234,7.008090112,0.6617461
1,30,2.1,1.6,1,2.4,28,32,30,40,2.1,13.722,-34.91326599,7.373096666,0.595605021
1,30,2.1,1.6,1,2.2,28,32,30,40,2.1,13.722,-28.13401337,7.696412446,0.528929824
1,30,2.1,1.6,1,2,28,32,30,40,2.1,13.728,-25.02671301,8.100864586,0.4784088
1,30,2.1,1.6,1,1.8,28,32,30,40,2.1,13.728,-22.8215754,8.253291581,0.421305752
1,30,2.1,1.6,1,1.6,28,32,30,40,2.1,13.752,-23.0267418,8.33318949,0.378045816
1,30,2.1,1.6,1,1.4,28,32,30,40,2.1,13.782,-24.50847916,8.271635815,0.341731243
1,30,2.1,1.6,1,1.2,28,32,30,40,2.1,13.8,-27.3813582,8.23663421,0.307171379
1,30,2.1,1.6,1,1,28,32,30,40,2.1,13.824,-55.37068438,7.851519188,0.281950182
1,30,2.1,1.6,1,3.2,28,32,30,40,1.9,13.8,-36.09508882,7.075161887,0.821133587
1,30,2.1,1.6,1,3,28,32,30,40,1.9,13.77,-38.23159541,7.132737129,0.748602281
1,30,2.1,1.6,1,2.8,28,32,30,40,1.9,13.74,-52.35208471,7.143591897,0.684845273
